account_number;account_name;native_name;description;consolidation_account_number;consolidation_account_name;consolidation_account_description;status
6100;IT Software & Cloud Services;;IFRS consolidation — software and cloud;;;;enabled
6200;IT Infrastructure & Telecom;;IFRS consolidation — infrastructure and networks;;;;enabled
6300;IT Professional Services;;IFRS consolidation — consulting and external labor;;;;enabled
6400;IT General Expenses;;IFRS consolidation — training, travel and other;;;;enabled
612100;SaaS Subscriptions;Redevances et abonnements SaaS;Abonnements logiciels cloud (Microsoft 365, Salesforce, etc.);6100;IT Software & Cloud Services;;enabled
612200;Software Licenses;Licences logiciels;Licences perpétuelles et temporaires (SAP, VMware);6100;IT Software & Cloud Services;;enabled
613100;Cloud Hosting;Hébergement cloud et IaaS;Serveurs dédiés, stockage objet et PaaS (OVHcloud, AWS);6100;IT Software & Cloud Services;;enabled
613200;Cybersecurity Tools;Outils de cybersécurité;Sécurité des endpoints, IAM et scanning (Sophos, Okta);6100;IT Software & Cloud Services;;enabled
613300;Data & Analytics Platforms;Plateformes données et analytics;Monitoring, BI et outils data (Datadog, Snowflake);6100;IT Software & Cloud Services;;enabled
615100;IT Maintenance & Support;Maintenance et support informatique;Contrats de maintenance matériel, infogérance;6200;IT Infrastructure & Telecom;;enabled
616100;Telecom & Network;Télécommunications et réseaux;WAN, LAN, internet et téléphonie;6200;IT Infrastructure & Telecom;;enabled
616200;Data Center Costs;Hébergement datacenter;Colocation, énergie et refroidissement;6200;IT Infrastructure & Telecom;;enabled
621100;IT Staff Augmentation;Personnel intérimaire IT;Développeurs, ingénieurs et chefs de projet externes;6300;IT Professional Services;;enabled
622100;IT Consulting;Honoraires conseil IT;Conseil en stratégie, architecture et cybersécurité;6300;IT Professional Services;;enabled
622200;Software Development Services;Développement logiciel externalisé;Développement d'applications et intégration;6300;IT Professional Services;;enabled
618100;IT Training & Certification;Formation et certification IT;Programmes de formation et certifications professionnelles;6400;IT General Expenses;;enabled
625100;IT Travel & Events;Déplacements et événements IT;Déplacements, conférences et salons IT;6400;IT General Expenses;;enabled
