name;description;category;supplier_name;editor;criticality;lifecycle;is_suite;version;go_live_date;end_of_support_date;retired_date;external_facing;data_class;contains_pii;status;business_owner_email_1;it_owner_email_1;notes
Microsoft 365;Enterprise productivity suite — Exchange, Teams, SharePoint, OneDrive;SaaS;Microsoft;Microsoft;business_critical;active;true;E3;2019-01-15;;;false;confidential;true;enabled;thomas.berger@fromage-co.com;pierre.martin@fromage-co.com;Group-wide deployment, 2050+ users across all four entities
Exchange Online;Cloud email and calendaring for all entities;SaaS;Microsoft;Microsoft;business_critical;active;false;;2019-01-15;;;false;confidential;true;enabled;thomas.berger@fromage-co.com;pierre.martin@fromage-co.com;Part of Microsoft 365 suite
Microsoft Teams;Unified communications, chat and video conferencing;SaaS;Microsoft;Microsoft;business_critical;active;false;;2020-03-01;;;false;internal;false;enabled;thomas.berger@fromage-co.com;pierre.martin@fromage-co.com;Replaced Skype for Business — primary internal comms
SharePoint Online;Intranet, document management and team collaboration;SaaS;Microsoft;Microsoft;high;active;false;;2019-06-01;;;true;confidential;false;enabled;thomas.berger@fromage-co.com;pierre.martin@fromage-co.com;Hosts Le Wiki du Fromage (internal knowledge base)
OneDrive for Business;Personal cloud file storage and sync;SaaS;Microsoft;Microsoft;medium;active;false;;2019-06-01;;;false;internal;false;enabled;thomas.berger@fromage-co.com;pierre.martin@fromage-co.com;Part of Microsoft 365 suite
Zoom Workplace;Video conferencing for external meetings and webinars;SaaS;Zoom Video Communications;Zoom Video Communications;medium;active;false;Business;2020-03-15;;;true;internal;false;enabled;thomas.berger@fromage-co.com;pierre.martin@fromage-co.com;Complement to Teams for customer-facing calls
Slack;Team messaging and channels;SaaS;Salesforce;Salesforce;low;deprecated;false;Business+;2019-06-01;2026-06-30;;false;internal;false;enabled;thomas.berger@fromage-co.com;pierre.martin@fromage-co.com;Being decommissioned — migrating all channels to Teams
SAP S/4HANA;Enterprise resource planning — finance, procurement, production planning;COTS;SAP;SAP SE;business_critical;active;false;2023;2018-04-01;2027-12-31;;false;restricted;true;enabled;marie.fontaine@fromage-co.com;sophie.laurent@fromage-co.com;Core ERP for HQ — migration to latest version planned (SAP Cheddar)
SAP BW/4HANA;Business intelligence and analytical reporting on SAP data;COTS;SAP;SAP SE;high;active;false;2.0;2020-09-01;2027-12-31;;false;restricted;false;enabled;marie.fontaine@fromage-co.com;sophie.laurent@fromage-co.com;Feeds Power BI dashboards for executive reporting
SAP Concur;Travel and expense management;SaaS;SAP;SAP SE;medium;active;false;Standard;2022-01-01;;;true;confidential;true;enabled;marie.fontaine@fromage-co.com;sophie.laurent@fromage-co.com;Used by all employees for T&E claims
Sage X3;Accounting and financial management for NL and IT subsidiaries;COTS;Sage;Sage;high;active;false;V12;2020-01-01;2028-06-30;;false;restricted;true;enabled;marie.fontaine@fromage-co.com;sophie.laurent@fromage-co.com;Kaasmeester and Formaggio Supremo — under review for SAP consolidation
Coupa Procurement;Cloud procurement and spend management;SaaS;Coupa;Coupa;medium;active;false;R34;2023-03-01;;;true;confidential;false;enabled;marie.fontaine@fromage-co.com;sophie.laurent@fromage-co.com;Procure-to-pay for indirect spend
QuickBooks Online;Cloud accounting for US distribution entity;SaaS;Intuit;Intuit;medium;active;false;Plus;2022-06-01;;;false;restricted;true;enabled;mike.johnson@fromage-co.com;mike.johnson@fromage-co.com;Fromage & Co Inc. only — basic GL + AP/AR
Salesforce Sales Cloud;CRM for B2B cheese distribution across Europe;SaaS;Salesforce;Salesforce;high;active;false;Enterprise;2021-09-01;;;true;confidential;true;enabled;isabelle.moreau@fromage-co.com;sophie.laurent@fromage-co.com;350+ active users across European sales teams
Salesforce Service Cloud;Customer support and case management;SaaS;Salesforce;Salesforce;medium;active;false;Enterprise;2023-01-01;;;true;confidential;true;enabled;isabelle.moreau@fromage-co.com;sophie.laurent@fromage-co.com;60 agents handling B2B and B2C support
HubSpot Marketing Hub;Inbound marketing, email campaigns and lead generation;SaaS;HubSpot;HubSpot;medium;active;false;Professional;2022-06-01;;;true;internal;true;enabled;isabelle.moreau@fromage-co.com;amelie.rousseau@fromage-co.com;Integrated with Salesforce for lead handoff
Workday HCM;Human capital management, payroll and talent;SaaS;Workday;Workday;high;active;false;2025R1;2025-04-01;;;false;restricted;true;enabled;marie.fontaine@fromage-co.com;sophie.laurent@fromage-co.com;Live for FR — NL, IT, US rollout in progress
Cornerstone OnDemand;Learning management and talent development;SaaS;;;low;deprecated;false;;2018-01-01;2026-12-31;;false;internal;true;enabled;marie.fontaine@fromage-co.com;sophie.laurent@fromage-co.com;Being replaced by Workday Learning module
ServiceNow ITSM;IT service management — incidents, changes, requests;SaaS;ServiceNow;ServiceNow;high;active;false;Vancouver;2024-01-15;;;false;internal;false;enabled;thomas.berger@fromage-co.com;sophie.laurent@fromage-co.com;Central ITSM for all entities — 15 IT agents
Okta Workforce Identity;Identity and access management, SSO and MFA;SaaS;Okta;Okta;business_critical;active;false;OIE;2023-01-15;;;false;restricted;true;enabled;lucas.bernard@fromage-co.com;pierre.martin@fromage-co.com;Central IdP for all SaaS apps — 2050+ users
