product_name;description;supplier_name;company_name;account_number;currency;effective_start;effective_end;status;disabled_at;owner_it_email;owner_business_email;analytics_category;notes;y_minus1_budget;y_minus1_landing;y_budget;y_follow_up;y_landing;y_revision;y_plus1_budget;y_plus1_revision
Microsoft Enterprise (M365 + Azure + GitHub);M365 E3 for 2050+ users, Azure consumption and GitHub Enterprise;Microsoft;Fromage & Co SA;612100;EUR;2024-01-01;;enabled;;pierre.martin@fromage-co.com;thomas.berger@fromage-co.com;Productivity;Group-wide EA — single largest IT spend line;620000;625000;650000;650000;660000;660000;680000;680000
SAP S/4HANA Maintenance;Annual maintenance and support for on-premise ERP;SAP;Fromage & Co SA;612200;EUR;2023-07-01;;enabled;;sophie.laurent@fromage-co.com;marie.fontaine@fromage-co.com;ERP;Renews annually in July — includes critical patches;265000;270000;280000;280000;280000;280000;290000;290000
SAP BW/4HANA License;Business intelligence and analytics reporting;SAP;Fromage & Co SA;612200;EUR;2020-09-01;;enabled;;sophie.laurent@fromage-co.com;marie.fontaine@fromage-co.com;Analytics;Feeds Power BI executive dashboards;62000;64000;70000;70000;70000;70000;75000;75000
Salesforce (Sales + Service Cloud);CRM for B2B distribution — 350 Sales + 60 Service licenses;Salesforce;Fromage & Co SA;612100;EUR;2025-03-01;;enabled;;sophie.laurent@fromage-co.com;isabelle.moreau@fromage-co.com;CRM;Enterprise edition — integrated with HubSpot;165000;170000;180000;180000;185000;185000;195000;195000
ServiceNow ITSM Platform;IT service management — incidents, changes, requests;ServiceNow;Fromage & Co SA;612100;EUR;2025-01-01;;enabled;;sophie.laurent@fromage-co.com;thomas.berger@fromage-co.com;ITSM;Standard plan — 15 agent licenses;110000;112000;120000;120000;120000;120000;130000;130000
Workday HCM;Human capital management, payroll and talent — global;Workday;Fromage & Co SA;612100;EUR;2025-04-01;;enabled;;sophie.laurent@fromage-co.com;marie.fontaine@fromage-co.com;HR;Live for FR — rollout to NL, IT, US in progress;80000;85000;150000;150000;150000;150000;160000;160000
OVHcloud Infrastructure;Dedicated servers, storage and hosting for on-premise apps;OVHcloud;Fromage & Co SA;613100;EUR;2024-06-01;2026-06-30;enabled;;pierre.martin@fromage-co.com;thomas.berger@fromage-co.com;Infrastructure;4 dedicated servers + 5TB storage — contract ends Jun 2026;78000;80000;85000;85000;86000;86000;90000;90000
AWS Cloud Hosting;Cloud infrastructure for La Boutique and B2B Portal;;Fromage & Co SA;613100;EUR;2025-01-01;;enabled;;pierre.martin@fromage-co.com;thomas.berger@fromage-co.com;Infrastructure;eu-west-1 — EC2, RDS, S3, CloudFront;55000;60000;75000;75000;78000;78000;95000;95000
Datadog Monitoring;Infrastructure monitoring, APM and log management;Datadog;Fromage & Co SA;613300;EUR;2024-09-01;;enabled;;pierre.martin@fromage-co.com;thomas.berger@fromage-co.com;Monitoring;Enterprise plan — 80 hosts + APM + Logs;52000;55000;60000;60000;62000;62000;68000;68000
Okta Workforce Identity;SSO and MFA for 2050+ users across all entities;Okta;Fromage & Co SA;613200;EUR;2025-04-01;;enabled;;pierre.martin@fromage-co.com;lucas.bernard@fromage-co.com;Security;Workforce Identity Cloud + Adaptive MFA;40000;42000;45000;45000;46000;46000;50000;50000
Sophos Enterprise Security;Endpoint protection and EDR for 2050+ devices;Sophos;Fromage & Co SA;613200;EUR;2025-02-01;;enabled;;pierre.martin@fromage-co.com;lucas.bernard@fromage-co.com;Security;Intercept X Advanced with Central Management;48000;50000;55000;55000;56000;56000;60000;60000
VMware vSphere Licensing;Server virtualization for all on-premise infrastructure;Broadcom;Fromage & Co SA;612200;EUR;2024-01-01;;enabled;;pierre.martin@fromage-co.com;thomas.berger@fromage-co.com;Infrastructure;Enterprise Plus — 6 ESXi hosts;72000;75000;80000;80000;80000;80000;85000;85000
CaveGuard IoT Platform;Schneider IoT monitoring for cheese aging caves;Schneider Electric;Fromage & Co SA;613300;EUR;2025-09-01;;enabled;;marc.petit@fromage-co.com;jacques.dubois@fromage-co.com;IoT;Pilot expanding to full rollout 2027;0;0;65000;65000;65000;65000;70000;70000
CheeseTrack SaaS;Cold chain traceability platform — all production sites;ColdChain Solutions;Fromage & Co SA;612100;EUR;2025-06-01;;enabled;;marc.petit@fromage-co.com;jacques.dubois@fromage-co.com;Traceability;Mandatory for AOP/DOP certification;24000;25000;28000;28000;28000;28000;32000;32000
Network & Telecom Services;WAN, MPLS, internet and telephony across all EU sites;;Fromage & Co SA;616100;EUR;2023-01-01;;enabled;;pierre.martin@fromage-co.com;thomas.berger@fromage-co.com;Infrastructure;Multi-site MPLS + internet breakout — 6 locations;150000;155000;160000;160000;162000;162000;170000;170000
IT Staff Augmentation;External contractors — developers, DevOps and project support;;Fromage & Co SA;621100;EUR;2024-01-01;;enabled;;sophie.laurent@fromage-co.com;thomas.berger@fromage-co.com;Professional Services;3 FTE developers + 1 FTE DevOps + 1 FTE PM;380000;395000;420000;420000;430000;430000;380000;380000
Managed Services — Axians Infogérance;L1/L2 support, monitoring and patch management;Axians;Fromage & Co SA;615100;EUR;2024-01-01;;enabled;;sophie.laurent@fromage-co.com;thomas.berger@fromage-co.com;Managed Services;24/7 monitoring, 8x5 support for all on-premise systems;165000;170000;180000;180000;182000;182000;190000;190000
Cybersecurity Consulting & Audits;Penetration testing, audits and CISO advisory;;Fromage & Co SA;622100;EUR;2024-01-01;;enabled;;lucas.bernard@fromage-co.com;thomas.berger@fromage-co.com;Security;Annual pentest + quarterly vuln scans + GDPR audit;70000;75000;80000;80000;82000;82000;90000;90000
Various SaaS Bundle;HubSpot, DocuSign, Zoom, Figma, Coupa, PagerDuty, Adobe;;Fromage & Co SA;612100;EUR;2023-01-01;;enabled;;sophie.laurent@fromage-co.com;thomas.berger@fromage-co.com;Productivity;Consolidated line for smaller SaaS subscriptions;108000;112000;120000;120000;122000;122000;130000;130000
Fortinet FortiCare & FortiGuard;Firewall support, updates and threat intelligence;Fortinet;Fromage & Co SA;615100;EUR;2024-09-01;;enabled;;pierre.martin@fromage-co.com;lucas.bernard@fromage-co.com;Security;FortiCare Premium + FortiGuard for 8 appliances;36000;38000;40000;40000;40000;40000;42000;42000
IT Training & Certification;Employee training, certifications and conference passes;;Fromage & Co SA;618100;EUR;2024-01-01;;enabled;;sophie.laurent@fromage-co.com;thomas.berger@fromage-co.com;Training;Cloud certs, security certs, SAP training;40000;42000;45000;45000;46000;46000;48000;48000
IT Travel & Events;IT team travel, conferences and industry events;;Fromage & Co SA;625100;EUR;2024-01-01;;enabled;;sophie.laurent@fromage-co.com;thomas.berger@fromage-co.com;General;Vivatech, AWS Summit, SAP TechEd, etc.;26000;28000;30000;30000;31000;31000;32000;32000
Sage X3 Licenties — Kaasmeester;Accounting software for Dutch subsidiary;Sage;Kaasmeester BV;45200;EUR;2024-01-01;;enabled;;jan.bakker@kaasmeester.nl;marie.fontaine@fromage-co.com;ERP;25 named users — Kaasmeester BV;32000;33000;35000;35000;35000;35000;37000;37000
Sage X3 Licenze — Formaggio Supremo;Accounting software for Italian subsidiary;Sage;Formaggio Supremo SRL;6502;EUR;2024-01-01;;enabled;;luca.ferrari@formaggio-supremo.it;marie.fontaine@fromage-co.com;ERP;15 named users — Formaggio Supremo SRL;22000;23000;25000;25000;25000;25000;27000;27000
US Office IT Services;Microsoft 365 licenses and SaaS tools for US entity;;Fromage & Co Inc.;7110;USD;2025-01-01;;enabled;;mike.johnson@fromage-co.com;thomas.berger@fromage-co.com;Productivity;M365 E3 + Salesforce + Zoom for 150 users;38000;40000;45000;45000;46000;46000;52000;52000
US Managed IT Services;Helpdesk, desktop management and local infrastructure;Atlantic IT Solutions;Fromage & Co Inc.;7210;USD;2025-01-01;;enabled;;mike.johnson@fromage-co.com;thomas.berger@fromage-co.com;Managed Services;Atlantic IT Solutions — managed services for NYC office;110000;115000;120000;120000;122000;122000;130000;130000
US Telecom & Internet;Internet, VoIP and VPN connectivity for NYC office;;Fromage & Co Inc.;7220;USD;2024-01-01;;enabled;;mike.johnson@fromage-co.com;thomas.berger@fromage-co.com;Infrastructure;Dedicated fiber + VPN to Paris DC;20000;22000;25000;25000;25000;25000;28000;28000
